nid	len
579454	1012
573340	1012
579281	1012
570909	1011
578911	1011
578527	1011
573420	1010
574329	1009
572796	1009
577410	1008
569563	1008
572686	1007
577297	1007
571696	1007
574020	1007
569453	1007
572092	1007
576472	1007
568303	1007
576755	1007
570918	1006
578116	1006
572375	1006
568316	1006
574262	1005
571449	1005
575936	1005
580307	1005
580314	1005
575980	1005
569133	1004
571190	1004
569198	1004
570735	1004
574335	1004
576174	1004
568512	1004
577642	1003
571064	1003
569045	1003
569075	1003
577858	1002
567953	1002
567707	1002
568495	1002
570801	1002
579021	1002
576842	1001
574292	1001
573316	1001
576428	1001
579853	1000
576945	1000
568332	999
574265	999
574287	999
574046	999
570545	999
